,ID,Name,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value
79,ENSG00000169508,GPR183,0.63,6e-01,0.35,8e-01,1.61,9e-04,-0.80,3e-01,-0.38,1e+00,-0.41,1e+00,0.04,1e+00,-4.98,3e-01,-1.65,3e-03
80,ENSG00000198399,ITSN2,0.63,6e-01,-1.24,2e-01,-0.05,1e+00,0.27,1e+00,1.44,1e-01,-0.84,6e-01,-0.19,1e+00,-3.23,3e-01,-0.27,1e+00
81,ENSG00000196735,HLA-DQA1,0.62,7e-01,-4.75,3e-11,1.12,7e-02,0.33,9e-01,-0.11,1e+00,-2.98,7e-05,0.51,1e+00,-4.07,3e-01,-0.17,1e+00
82,ENSG00000196126,HLA-DRB1,0.62,7e-01,-4.78,4e-12,1.28,2e-02,0.46,7e-01,-0.91,8e-01,-3.06,3e-05,0.41,1e+00,-3.62,3e-01,-0.29,9e-01
83,ENSG00000104921,FCER2,0.62,7e-01,-4.27,4e-08,1.94,1e-05,-0.51,8e-01,0.73,5e-01,-4.50,5e-07,0.41,1e+00,-3.13,4e-01,-0.50,7e-01
84,ENSG00000028277,POU2F2,0.61,7e-01,-2.79,3e-05,-0.21,1e+00,0.89,5e-02,0.90,3e-01,-2.31,3e-03,0.18,1e+00,-4.08,3e-01,-0.28,1e+00
85,ENSG00000134744,ZCCHC11,0.61,6e-01,-0.54,8e-01,-0.17,1e+00,0.12,1e+00,1.41,1e-01,-0.26,1e+00,-0.36,1e+00,-3.16,3e-01,-0.46,7e-01
86,ENSG00000079950,STX7,0.60,7e-01,-3.98,2e-07,0.04,1e+00,0.49,6e-01,1.81,4e-02,-2.88,6e-04,0.34,1e+00,-3.11,4e-01,-0.40,8e-01
87,ENSG00000019582,CD74,0.60,7e-01,-3.75,7e-09,0.99,2e-01,0.47,7e-01,-0.20,1e+00,-2.34,2e-03,0.48,1e+00,-4.15,3e-01,-0.30,9e-01
88,ENSG00000160888,IER2,0.59,7e-01,0.76,3e-01,1.38,8e-03,-0.75,3e-01,-0.08,1e+00,-0.32,1e+00,-0.23,1e+00,-4.11,3e-01,-1.83,3e-04
